CLUSTER,TOKEN,R,ROC_AUC,DOMAIN,FREQUENCY
1,reward,0.17451434696216314,0.6546381749338477,AROUSAL,66044
1,valence,0.1536665793894859,0.6546381749338477,AROUSAL,25850
1,emotion,0.14388802400370362,0.6546381749338477,AROUSAL,68311
1,arousal,0.14225017977899593,0.6546381749338477,AROUSAL,17711
1,memory,0.1406753158077921,0.6546381749338477,AROUSAL,104621
1,reward_processing,0.13692127480697666,0.6546381749338477,AROUSAL,5176
1,fear,0.1348916514065104,0.6546381749338477,AROUSAL,25324
1,anticipation,0.12593001465109854,0.6546381749338477,AROUSAL,15770
1,declarative_memory,0.12543787437248524,0.6546381749338477,AROUSAL,2010
1,reward_anticipation,0.12208716251021565,0.6546381749338477,AROUSAL,3466
1,episodic_memory,0.11545167611185768,0.6546381749338477,AROUSAL,11977
1,remembering,0.1143114913081317,0.6546381749338477,AROUSAL,5084
1,emotional_memory,0.11289858025462733,0.6546381749338477,AROUSAL,2226
1,facial_expression,0.1095557442749284,0.6546381749338477,AROUSAL,18306
1,recognition_memory,0.1071677218104879,0.6546381749338477,AROUSAL,6649
1,autobiographical_memory,0.10685705039844533,0.6546381749338477,AROUSAL,5475
1,salience,0.10569655845687292,0.6546381749338477,AROUSAL,15457
1,episodic_simulation,0.10564756177257198,0.6546381749338477,AROUSAL,398
1,monetary_incentive_delay_task,0.10086027389888516,0.6546381749338477,AROUSAL,551
2,manipulation,0.1135992694127401,0.6309801809142733,MANIPULATION,16872
2,retrieval,0.10895952183004927,0.6309801809142733,MANIPULATION,53088
2,covert,0.10766014648556847,0.6309801809142733,MANIPULATION,6023
2,word,0.10693394905333528,0.6309801809142733,MANIPULATION,150581
2,language,0.10393010563966562,0.6309801809142733,MANIPULATION,71269
2,rehearsal,0.09873424422576732,0.6309801809142733,MANIPULATION,3800
2,monitoring,0.09860249311723228,0.6309801809142733,MANIPULATION,18441
2,semantic_processing,0.09691048048577416,0.6309801809142733,MANIPULATION,8467
2,strategy,0.09627191767767936,0.6309801809142733,MANIPULATION,28060
2,cognitive_process,0.09511645526294256,0.6309801809142733,MANIPULATION,9090
2,reaction_time,0.09488951550507377,0.6309801809142733,MANIPULATION,28960
2,goal,0.09458310004279813,0.6309801809142733,MANIPULATION,18484
2,memory,0.09426267509750756,0.6309801809142733,MANIPULATION,104621
2,context,0.09389833137465664,0.6309801809142733,MANIPULATION,44728
2,meaning,0.09251812616050804,0.6309801809142733,MANIPULATION,16764
2,familiarity,0.09195077847227688,0.6309801809142733,MANIPULATION,14917
2,execution,0.09191714210697098,0.6309801809142733,MANIPULATION,15077
2,remembering,0.09163887772440812,0.6309801809142733,MANIPULATION,5084
2,attention,0.09054500960725896,0.6309801809142733,MANIPULATION,85465
2,judgment,0.09009596153584626,0.6309801809142733,MANIPULATION,32153
2,language_processing,0.08992461384588092,0.6309801809142733,MANIPULATION,5825
2,reading,0.08906403632615592,0.6309801809142733,MANIPULATION,50047
2,imagination,0.08855636950322278,0.6309801809142733,MANIPULATION,2968
2,representation,0.08780698363047533,0.6309801809142733,MANIPULATION,72956
2,semantics,0.0865396213948598,0.6309801809142733,MANIPULATION,4206
